Date,Open,High,Low,Close,Adj Close,Volume
2021-08-30,16.770000,16.799999,15.980000,16.190001,16.190001,0
2021-08-31,15.980000,17.070000,15.910000,16.480000,16.480000,0
2021-09-01,16.059999,16.709999,15.680000,16.110001,16.110001,0
2021-09-02,16.270000,16.980000,15.730000,16.410000,16.410000,0
2021-09-03,16.270000,17.059999,16.080000,16.410000,16.410000,0
2021-09-07,16.940001,18.389999,16.889999,18.139999,18.139999,0
2021-09-08,18.969999,19.639999,17.780001,17.959999,17.959999,0
2021-09-09,19.440001,19.540001,17.170000,18.799999,18.799999,0
2021-09-10,17.940001,21.129999,16.990000,20.950001,20.950001,0
2021-09-13,19.639999,21.180000,18.760000,19.370001,19.370001,0
2021-09-14,19.580000,20.469999,18.389999,19.459999,19.459999,0
2021-09-15,19.299999,20.270000,18.010000,18.180000,18.180000,0
2021-09-16,18.410000,19.760000,17.650000,18.690001,18.690001,0
2021-09-17,18.370001,21.510000,18.350000,20.809999,20.809999,0
2021-09-20,24.250000,28.790001,23.900000,25.709999,25.709999,0
2021-09-21,23.410000,25.600000,21.709999,24.360001,24.360001,0
2021-09-22,22.719999,23.400000,20.750000,20.870001,20.870001,0
2021-09-23,19.910000,20.209999,18.420000,18.629999,18.629999,0
2021-09-24,19.330000,20.410000,17.629999,17.750000,17.750000,0
2021-09-27,17.780001,19.320000,17.740000,18.760000,18.760000,0
2021-09-28,19.740000,24.820000,19.709999,23.250000,23.250000,0
2021-09-29,22.070000,23.790001,21.450001,22.559999,22.559999,0
2021-09-30,21.480000,24.709999,20.600000,23.139999,23.139999,0
2021-10-01,24.780001,24.889999,20.850000,21.100000,21.100000,0
2021-10-04,22.900000,24.580000,21.879999,22.959999,22.959999,0
2021-10-05,22.920000,23.170000,20.620001,21.299999,21.299999,0
2021-10-06,22.950001,24.400000,20.990000,21.000000,21.000000,0
2021-10-07,20.540001,20.760000,19.070000,19.540001,19.540001,0
2021-10-08,19.459999,19.940001,18.200001,18.770000,18.770000,0
2021-10-11,19.930000,20.450001,18.110001,20.000000,20.000000,0
2021-10-12,20.620001,20.809999,18.969999,19.850000,19.850000,0
2021-10-13,20.139999,20.230000,18.440001,18.639999,18.639999,0
2021-10-14,18.010000,18.080000,16.799999,16.860001,16.860001,0
2021-10-15,16.639999,16.850000,15.720000,16.299999,16.299999,0
2021-10-18,17.290001,17.930000,16.270000,16.309999,16.309999,0
2021-10-19,16.090000,16.309999,15.570000,15.700000,15.700000,0
2021-10-20,15.820000,15.890000,15.290000,15.490000,15.490000,0
2021-10-21,16.059999,16.110001,14.920000,15.010000,15.010000,0
2021-10-22,15.350000,16.389999,14.840000,15.430000,15.430000,0
2021-10-25,16.139999,16.330000,15.100000,15.240000,15.240000,0
2021-10-26,15.020000,16.709999,14.900000,15.980000,15.980000,0
2021-10-27,15.790000,17.290001,15.540000,16.980000,16.980000,0
2021-10-28,17.059999,17.160000,16.230000,16.530001,16.530001,0
2021-10-29,17.400000,18.059999,16.129999,16.260000,16.260000,0
2021-11-01,16.850000,17.700001,16.320000,16.410000,16.410000,0
2021-11-02,16.540001,16.650000,15.890000,16.030001,16.030001,0
2021-11-03,16.110001,16.389999,14.900000,15.100000,15.100000,0
2021-11-04,15.060000,16.139999,14.730000,15.440000,15.440000,0
2021-11-05,15.590000,17.020000,14.950000,16.480000,16.480000,0
2021-11-08,17.230000,17.690001,16.440001,17.219999,17.219999,0
2021-11-09,17.430000,18.570000,17.209999,17.780001,17.780001,0
2021-11-10,17.740000,19.900000,17.219999,18.730000,18.730000,0
2021-11-11,18.340000,18.389999,17.270000,17.660000,17.660000,0
2021-11-12,17.490000,17.690001,16.150000,16.290001,16.290001,0
2021-11-15,17.030001,17.459999,16.490000,16.490000,16.490000,0
2021-11-16,16.860001,17.080000,16.030001,16.370001,16.370001,0
2021-11-17,16.360001,17.190001,16.280001,17.110001,17.110001,0
2021-11-18,16.809999,18.150000,16.379999,17.590000,17.590000,0
2021-11-19,17.360001,19.010000,17.230000,17.910000,17.910000,0
2021-11-22,18.200001,19.590000,17.350000,19.170000,19.170000,0
2021-11-23,20.240000,20.910000,19.030001,19.379999,19.379999,0
2021-11-24,19.170000,20.959999,18.520000,18.580000,18.580000,0
2021-11-26,26.620001,28.990000,23.879999,28.620001,28.620001,0
2021-11-29,25.309999,25.690001,21.709999,22.959999,22.959999,0
